version,source,arch,installer_name,path,filename,internal_name,file_size,file_date,md5,sha1,sha256,dist_hash_status,dist_gpg_status,discrepancy_note,url
8.1.9.3,github,arm64,npp.8.1.9.3.Installer.arm64.exe,,npp.8.1.9.3.Installer.arm64.exe,,4001208,2021-12-08T20:13:44+00:00,f84febaa52401e4dc03fa407f67ee4e1,da819f01cca803dfa9742a5c9bbd7775b80e3b73,a5d7ec010f7879c11de142d1287fd1e9a0ac33b5561a2007c0db67f64bacd9a2,MATCH,MATCH,,https://github.com/notepad-plus-plus/notepad-plus-plus/releases/download/v8.1.9.3/npp.8.1.9.3.Installer.arm64.exe
8.1.9.3,github,arm64,npp.8.1.9.3.Installer.arm64.exe,$PLUGINSDIR/nppLocalization/abkhazian.xml,abkhazian.xml,,109635,2021-12-08T20:13:44+00:00,fe1a9838f535b7beb3e02a8c12587bfb,7af2e6d66bd0ec74490e93d8aa813d181e09279b,a804b3a6a926ce8022b4e96cdca74afec6f70216f07f42a11d62891f00771fd5,N/A,N/A,,https://github.com/notepad-plus-plus/notepad-plus-plus/releases/download/v8.1.9.3/npp.8.1.9.3.Installer.arm64.exe
8.1.9.3,github,arm64,npp.8.1.9.3.Installer.arm64.exe,autoCompletion/actionscript.xml,actionscript.xml,,20745,2021-12-08T20:13:44+00:00,280f64b01191bf89b52c5bbbea1cc290,e01503c8ef4155bde9c89e3e2a21f8437872c4eb,f1fb320fd456938afc0bc852765e393837bcea53bd514838419801bef8436b9e,N/A,N/A,,https://github.com/notepad-plus-plus/notepad-plus-plus/releases/download/v8.1.9.3/npp.8.1.9.3.Installer.arm64.exe
8.1.9.3,github,arm64,npp.8.1.9.3.Installer.arm64.exe,functionList/ada.xml,ada.xml,,3584,2021-12-08T20:13:44+00:00,c7f9fc66e6b1fef3e9f8a37552314bae,82d91e37882d509eee2abcb45d825bbd95829b47,dab30f330f8c5a2db0dfe27e5d8f2d1666b067be35612984b344575a49f50668,N/A,N/A,,https://github.com/notepad-plus-plus/notepad-plus-plus/releases/download/v8.1.9.3/npp.8.1.9.3.Installer.arm64.exe
8.1.9.3,github,arm64,npp.8.1.9.3.Installer.arm64.exe,$PLUGINSDIR/nppLocalization/afrikaans.xml,afrikaans.xml,,29077,2021-12-08T20:13:44+00:00,c2f475cc2b49d3aee490c9059529744a,621e81e87c6c8d45a6be6bc69108d8ab13e2d5a6,5d285d98f8891bcf73a770fde00c3215062842224b81c4e70537569712f84570,N/A,N/A,,https://github.com/notepad-plus-plus/notepad-plus-plus/releases/download/v8.1.9.3/npp.8.1.9.3.Installer.arm64.exe
8.1.9.3,github,arm64,npp.8.1.9.3.Installer.arm64.exe,$PLUGINSDIR/nppLocalization/albanian.xml,albanian.xml,,57189,2021-12-08T20:13:44+00:00,abb5ce7bc08a4ae30b48e06e2813bdc2,462dd6bcd43eac848bda8e6ee80a69667ae4d167,d962bd2a3d772a76d1cdf52296f357d0bad69745d199dfff74143b1b3b4bcef1,N/A,N/A,,https://github.com/notepad-plus-plus/notepad-plus-plus/releases/download/v8.1.9.3/npp.8.1.9.3.Installer.arm64.exe
8.1.9.3,github,arm64,npp.8.1.9.3.Installer.arm64.exe,$PLUGINSDIR/nppLocalization/arabic.xml,arabic.xml,,91812,2021-12-08T20:13:44+00:00,f0fddd41c88d2518f223d49d46741cb2,b9df49496486f282a1c63d80caa361325f278112,5712eeb795aee0d3b235007e11fad98b7e786d2d471c472b742363789b0ebf42,N/A,N/A,,https://github.com/notepad-plus-plus/notepad-plus-plus/releases/download/v8.1.9.3/npp.8.1.9.3.Installer.arm64.exe
8.1.9.3,github,arm64,npp.8.1.9.3.Installer.arm64.exe,$PLUGINSDIR/nppLocalization/aragonese.xml,aragonese.xml,,49810,2021-12-08T20:13:44+00:00,00312582b79ab1f5a35f8a42f9ed211d,55b8efdfbb1c6d735b8adbeb4a727464c4954ab7,5d6a821703377bb9b49594713d6d3c33f1d78263aa055fcd34c8fa3705041d1e,N/A,N/A,,https://github.com/notepad-plus-plus/notepad-plus-plus/releases/download/v8.1.9.3/npp.8.1.9.3.Installer.arm64.exe
8.1.9.3,github,arm64,npp.8.1.9.3.Installer.arm64.exe,$PLUGINSDIR/nppLocalization/aranese.xml,aranese.xml,,20821,2021-12-08T20:13:44+00:00,333a18acb93ba083e86679c065b69d15,cb874355fb8e495a2b0b0dcf8868df287ec6a342,de5da809aa6e44c4e6a01c3b5fb7da5a66d9683cb905416f3fcff2ed413ea7c6,N/A,N/A,,https://github.com/notepad-plus-plus/notepad-plus-plus/releases/download/v8.1.9.3/npp.8.1.9.3.Installer.arm64.exe
8.1.9.3,github,arm64,npp.8.1.9.3.Installer.arm64.exe,functionList/asm.xml,asm.xml,,1349,2021-12-08T20:13:44+00:00,2c5f4897d7f169e06aea28310c8ab9ec,edfd3f6faf838194de9821efd0fe185ffb6be0f0,73526ddb1d23d595680badd6bd87f5dd82869606a7cf7e8707758d48d848257e,N/A,N/A,,https://github.com/notepad-plus-plus/notepad-plus-plus/releases/download/v8.1.9.3/npp.8.1.9.3.Installer.arm64.exe
8.1.9.3,github,arm64,npp.8.1.9.3.Installer.arm64.exe,functionList/autoit.xml,autoit.xml,,1848,2021-12-08T20:13:44+00:00,99a0630a10ab4ee883554dc6bd9e2d91,63c842ce0df36d51082b61c2c682abcfc9d98e67,32ae9531405ef3c59448fe6dbd3be435e726eb17f3ca0d16530a4c6317dea286,N/A,N/A,,https://github.com/notepad-plus-plus/notepad-plus-plus/releases/download/v8.1.9.3/npp.8.1.9.3.Installer.arm64.exe
8.1.9.3,github,arm64,npp.8.1.9.3.Installer.arm64.exe,autoCompletion/autoit.xml,autoit.xml,,738716,2021-12-08T20:13:44+00:00,986e806d09b5c0fff08c5d9eac33a237,22a0d9893cb6cf82598a698401de38df11389043,b15afd5149673e3d72fc8e99945197c86ad43113230dcd8bbc952a82e965e146,N/A,N/A,,https://github.com/notepad-plus-plus/notepad-plus-plus/releases/download/v8.1.9.3/npp.8.1.9.3.Installer.arm64.exe
8.1.9.3,github,arm64,npp.8.1.9.3.Installer.arm64.exe,$PLUGINSDIR/nppLocalization/azerbaijani.xml,azerbaijani.xml,,35482,2021-12-08T20:13:44+00:00,8cd5c70b03ef9c48585c06fa149f9fcd,4fb0a331d184579444326c6910742ad4b0cbb5a1,d2e185e9c8b1e7d994dcb3b44748f1b499f18ca22a573f452a9b0d791344c448,N/A,N/A,,https://github.com/notepad-plus-plus/notepad-plus-plus/releases/download/v8.1.9.3/npp.8.1.9.3.Installer.arm64.exe
8.1.9.3,github,arm64,npp.8.1.9.3.Installer.arm64.exe,functionList/baanc.xml,baanc.xml,,8513,2021-12-08T20:13:44+00:00,0fce87843f5245bd9a4d5ddce156c7c4,cead1bad691b0d4722e05312ce752c4fefbdad1b,ec249b0dab6fda20cc24f0f25a504c55a05b23fb6cbb4938aa7a41df0c8744b6,N/A,N/A,,https://github.com/notepad-plus-plus/notepad-plus-plus/releases/download/v8.1.9.3/npp.8.1.9.3.Installer.arm64.exe
8.1.9.3,github,arm64,npp.8.1.9.3.Installer.arm64.exe,autoCompletion/BaanC.xml,BaanC.xml,,18483,2021-12-08T20:13:44+00:00,85c891742fcf58ae535b26ad948370a2,385e2c813c8d157627220f2bc92a5324c120859b,d408ed3caef21ebb64fb29d633e9ce5069454c1a792a09e2e24f83595d2743be,N/A,N/A,,https://github.com/notepad-plus-plus/notepad-plus-plus/releases/download/v8.1.9.3/npp.8.1.9.3.Installer.arm64.exe
8.1.9.3,github,arm64,npp.8.1.9.3.Installer.arm64.exe,functionList/bash.xml,bash.xml,,2999,2021-12-08T20:13:44+00:00,162ded022d600dcf4ba4b7e9ac6917a2,762291f4f4e66573811c8ef757a64bda8a4bba09,2ae1142b08d296c25000e451237ea919f981da28f6a723d39540f43f18bac762,N/A,N/A,,https://github.com/notepad-plus-plus/notepad-plus-plus/releases/download/v8.1.9.3/npp.8.1.9.3.Installer.arm64.exe
8.1.9.3,github,arm64,npp.8.1.9.3.Installer.arm64.exe,$PLUGINSDIR/nppLocalization/basque.xml,basque.xml,,98784,2021-12-08T20:13:44+00:00,ee49df531b24e154b732d34756f73dd4,1307ec9b79728b928d2471d57429f00e47418005,4aabe42df16c64c1501680f78a36548464a750f252e375e140015c788b5a0ab2,N/A,N/A,,https://github.com/notepad-plus-plus/notepad-plus-plus/releases/download/v8.1.9.3/npp.8.1.9.3.Installer.arm64.exe
8.1.9.3,github,arm64,npp.8.1.9.3.Installer.arm64.exe,functionList/batch.xml,batch.xml,,1930,2021-12-08T20:13:44+00:00,0ba94312e694ba6ddb313095678b7159,0faa0cf4df8a9569252e37de821a3e45a65f5c97,77eed9211cd8464482f0da3fac4c0f003c2b8a6d76f15445927e66400f102d60,N/A,N/A,,https://github.com/notepad-plus-plus/notepad-plus-plus/releases/download/v8.1.9.3/npp.8.1.9.3.Installer.arm64.exe
8.1.9.3,github,arm64,npp.8.1.9.3.Installer.arm64.exe,autoCompletion/batch.xml,batch.xml,,3777,2021-12-08T20:13:44+00:00,01e31d41e5cfb5d2b85c6aa0aabb0fff,6ffcbf31a35c8674536cc2a8a9de7d3f2d48ca38,c4025268b36bb02b2d25e5144d360f69cfc7dddcb3ac98cd2d588393b5cbd30d,N/A,N/A,,https://github.com/notepad-plus-plus/notepad-plus-plus/releases/download/v8.1.9.3/npp.8.1.9.3.Installer.arm64.exe
8.1.9.3,github,arm64,npp.8.1.9.3.Installer.arm64.exe,$PLUGINSDIR/nppLocalization/belarusian.xml,belarusian.xml,,101936,2021-12-08T20:13:44+00:00,ae8f6dcb87b02392227c6f202faedcab,cf55092c3c8cad1af0d06b3a16db84d9d6a2cdec,a5c8b1d35ca6391d943f03ea0f8a6a34bcd3bea6aebd57083158a152e5a3de4b,N/A,N/A,,https://github.com/notepad-plus-plus/notepad-plus-plus/releases/download/v8.1.9.3/npp.8.1.9.3.Installer.arm64.exe
8.1.9.3,github,arm64,npp.8.1.9.3.Installer.arm64.exe,$PLUGINSDIR/nppLocalization/bengali.xml,bengali.xml,,69886,2021-12-08T20:13:44+00:00,ada64f6d773d39433ea6e766967e75a6,aa8f14e5759481b0b5669f831fb91d948ee3eb6a,147543df8d38e0cf45bb258249163336e93f48e1c460a493e242d0abb5f74fcb,N/A,N/A,,https://github.com/notepad-plus-plus/notepad-plus-plus/releases/download/v8.1.9.3/npp.8.1.9.3.Installer.arm64.exe
